club	type	date	startsAt	endsAt	title	link
boston-bmwcca	autocross	2025-02-22	2025-02-22T07:00:00-04:00	2025-02-22T17:00:00-04:00	Banquet and Autocross Awards Party	https://www.motorsportreg.com/events/boston-bmw-cca-banquet-autocross-awards-party-craft-food-halls-607298
porsche-ncr	autocross	2025-02-02	2025-02-02T07:00:00-04:00	2025-02-02T17:00:00-04:00	Season Autocross Awards Party	https://www.motorsportreg.com/events/ncr-ner-2024-season-autocross-awards-party-billiards-cafe-pca-north-country-541754
boston-bmwcca	autocross	2025-04-06	2025-04-06T07:00:00-04:00	2025-04-06T17:00:00-04:00	Points Event #1	
ne-svt	autocross	2025-04-12	2025-04-12T07:00:00-04:00	2025-04-12T17:00:00-04:00	Points Event #1	
ner-scca	autocross	2025-04-13	2025-04-13T07:00:00-04:00	2025-04-13T17:00:00-04:00	Points Event #1	
ne-svt	autocross	2025-04-19	2025-04-19T07:00:00-04:00	2025-04-19T17:00:00-04:00	Points Event #2	
ne-svt	autocross	2025-04-20	2025-04-20T07:00:00-04:00	2025-04-20T17:00:00-04:00	Points Event #3	
ner-scca	autocross	2025-04-27	2025-04-27T07:00:00-04:00	2025-04-27T17:00:00-04:00	Points Event #2	
boston-bmwcca	autocross	2025-05-04	2025-05-04T07:00:00-04:00	2025-05-04T17:00:00-04:00	Spring Novice School	
ner-scca	autocross	2025-05-11	2025-05-11T07:00:00-04:00	2025-05-11T17:00:00-04:00	Points Event #3	
ne-svt	autocross	2025-05-17	2025-05-17T07:00:00-04:00	2025-05-17T17:00:00-04:00	Points Event #4	
ner-scca	autocross	2025-05-24	2025-05-24T07:00:00-04:00	2025-05-24T17:00:00-04:00	Points Event #4	
ner-scca	autocross	2025-05-31	2025-05-31T07:00:00-04:00	2025-05-31T17:00:00-04:00	Interclub Challenge Event	
ne-svt	autocross	2025-06-01	2025-06-01T07:00:00-04:00	2025-06-01T17:00:00-04:00	Points Event #5	
boston-bmwcca	autocross	2025-06-08	2025-06-08T07:00:00-04:00	2025-06-08T17:00:00-04:00	Points Event #2	
ner-scca	autocross	2025-06-14	2025-06-14T07:00:00-04:00	2025-06-14T17:00:00-04:00	Points Event #5	
ne-svt	autocross	2025-06-15	2025-06-15T07:00:00-04:00	2025-06-15T17:00:00-04:00	Points Event #6	
boston-bmwcca	autocross	2025-06-22	2025-06-22T07:00:00-04:00	2025-06-22T17:00:00-04:00	Points Event #3	
ne-svt	autocross	2025-06-28	2025-06-28T07:00:00-04:00	2025-06-28T17:00:00-04:00	Points Event #7	
ner-scca	autocross	2025-06-29	2025-06-29T07:00:00-04:00	2025-06-29T17:00:00-04:00	Points Event #6	
ne-svt	autocross	2025-07-06	2025-07-06T07:00:00-04:00	2025-07-06T17:00:00-04:00	Points Event #8	
ne-svt	autocross	2025-07-12	2025-07-12T07:00:00-04:00	2025-07-12T17:00:00-04:00	Points Event #9	
ner-scca	autocross	2025-07-13	2025-07-13T07:00:00-04:00	2025-07-13T17:00:00-04:00	Novice School	
boston-bmwcca	autocross	2025-07-20	2025-07-20T07:00:00-04:00	2025-07-20T17:00:00-04:00	Points Event #4	
ne-svt	autocross	2025-07-27	2025-07-27T07:00:00-04:00	2025-07-27T17:00:00-04:00	Points Event #10	
boston-bmwcca	autocross	2025-08-02	2025-08-02T07:00:00-04:00	2025-08-02T17:00:00-04:00	Points Event #5	
ne-svt	autocross	2025-08-09	2025-08-09T07:00:00-04:00	2025-08-09T17:00:00-04:00	Points Event #11	
boston-bmwcca	autocross	2025-08-16	2025-08-16T07:00:00-04:00	2025-08-16T17:00:00-04:00	Summer Novice School	
ner-scca	autocross	2025-08-17	2025-08-17T07:00:00-04:00	2025-08-17T17:00:00-04:00	Points Event #7	
boston-bmwcca	autocross	2025-08-31	2025-08-31T07:00:00-04:00	2025-08-31T17:00:00-04:00	Points Event #6	
ne-svt	autocross	2025-09-06	2025-09-06T07:00:00-04:00	2025-09-06T17:00:00-04:00	Points Event #12	
ne-svt	autocross	2025-09-14	2025-09-14T07:00:00-04:00	2025-09-14T17:00:00-04:00	Points Event #13	
boston-bmwcca	autocross	2025-09-20	2025-09-20T07:00:00-04:00	2025-09-20T17:00:00-04:00	Points Event #7	
ner-scca	autocross	2025-09-21	2025-09-21T07:00:00-04:00	2025-09-21T17:00:00-04:00	Points Event #8	
boston-bmwcca	autocross	2025-10-04	2025-10-04T07:00:00-04:00	2025-10-04T17:00:00-04:00	Points Event #8	
ne-svt	autocross	2025-10-05	2025-10-05T07:00:00-04:00	2025-10-05T17:00:00-04:00	Points Event #14	
ner-scca	autocross	2025-10-11	2025-10-11T07:00:00-04:00	2025-10-11T17:00:00-04:00	Stirling Moss	
boston-bmwcca	autocross	2025-10-19	2025-10-19T07:00:00-04:00	2025-10-19T17:00:00-04:00	Points Event #9	
ne-svt	autocross	2025-10-25	2025-10-25T07:00:00-04:00	2025-10-25T17:00:00-04:00	Points Event #15	
ner-scca	autocross	2025-10-26	2025-10-26T07:00:00-04:00	2025-10-26T17:00:00-04:00	Team Challenge	
ne-svt	autocross	2025-11-01	2025-11-01T07:00:00-04:00	2025-11-01T17:00:00-04:00	Points Event #16	
mass-tuning	trackday	2025-03-07	2025-03-07T07:00:00-04:00	2025-03-07T17:00:00-04:00	New Jersey Motorsports Park - Lightning	
mass-tuning	trackday	2025-03-08	2025-03-08T07:00:00-04:00	2025-03-08T17:00:00-04:00	New Jersey Motorsports Park - Thunderbolt	
mass-tuning	trackday	2025-03-14	2025-03-14T07:00:00-04:00	2025-03-14T17:00:00-04:00	Thompson Speedway	
mass-tuning	trackday	2024-03-15	2024-03-15T07:00:00-04:00	2024-03-15T17:00:00-04:00	Thompson Speedway	
mass-tuning	trackday	2025-03-16	2025-03-16T07:00:00-04:00	2025-03-16T17:00:00-04:00	Thompson Speedway	
mass-tuning	trackday	2025-03-28	2025-03-28T07:00:00-04:00	2025-03-28T17:00:00-04:00	Lime Rock 	
mass-tuning	trackday	2025-03-29	2025-03-29T07:00:00-04:00	2025-03-29T17:00:00-04:00	Lime Rock 	
mass-tuning	trackday	2025-04-04	2025-04-04T07:00:00-04:00	2025-04-04T17:00:00-04:00	Thompson Speedway	
mass-tuning	trackday	2025-04-05	2025-04-05T07:00:00-04:00	2025-04-05T17:00:00-04:00	Thompson Speedway	
mass-tuning	trackday	2025-04-11	2025-04-11T07:00:00-04:00	2025-04-11T17:00:00-04:00	Watkins Glen	
mass-tuning	trackday	2025-04-12	2025-04-12T07:00:00-04:00	2025-04-12T17:00:00-04:00	Watkins Glen	
mass-tuning	trackday	2025-04-13	2025-04-13T07:00:00-04:00	2025-04-13T17:00:00-04:00	Watkins Glen	
scca	trackday	2025-04-17	2025-04-17T07:00:00-04:00	2025-04-17T17:00:00-04:00	Lime Rock 	
scca	trackday	2025-04-29	2025-04-29T07:00:00-04:00	2025-04-29T17:00:00-04:00	Thompson Speedway	
mass-tuning	trackday	2025-05-03	2025-05-03T07:00:00-04:00	2025-05-03T17:00:00-04:00	Palmer - CCW	
mass-tuning	trackday	2025-05-04	2025-05-04T07:00:00-04:00	2025-05-04T17:00:00-04:00	Palmer - CW	
scca	trackday	2025-05-08	2025-05-08T07:00:00-04:00	2025-05-08T17:00:00-04:00	Lime Rock 	
mass-tuning	trackday	2025-05-09	2025-05-09T07:00:00-04:00	2025-05-09T17:00:00-04:00	Thompson Speedway	
